name,address,price,latitude,longitude
E-Z Gas,"6000 Orangethorpe Ave, Buena Park, CA",$3.79,33.858759017474,-118.027601187725
7-Eleven,"8495 Western Ave, Buena Park, CA",$4.04,33.839442807542,-118.002374100807
76,"7760 Crescent Ave, Buena Park, CA",$4.34,33.839290677018,-117.997864918529
Chevron,"7990 Valley View St, Buena Park, CA",$4.59,33.846591782791,-118.028339878607
76,"6971 Orangethorpe Ave, Buena Park, CA",,33.858943448246,-118.013047622528
Speedway Express,"7510 Orangethorpe Ave, Buena Park, CA",$3.99,33.858846856251,-118.002128935744
Valero,"5231 Beach Blvd, Buena Park, CA",$4.24,33.884780919482,-117.99546337654
76,"5262 Beach Blvd, Buena Park, CA",$4.39,33.88576380005,-117.994371314281
Chevron,"6392 Beach Blvd, Buena Park, CA",$4.49,33.867718708958,-117.99802198866
Chevron,"7250 Artesia Blvd, Buena Park, CA",$4.59,33.873345854851,-118.006150416932
Chevron,"6971 Beach Blvd, Buena Park, CA",$4.69,33.859443211484,-117.998274352174
Chevron,"5241 Beach Blvd, Buena Park, CA",$4.79,33.884389977342,-117.99573082011
Lucky Food and Fuel Inc,"5989 Beach Blvd, Buena Park, CA",,33.873706708388,-117.998393647157
Chevron,"8181 Sunland Blvd, Sun Valley, CA",,34.218791277301,-118.369369660526
Mobil,"8360 Sunland Blvd, Sun Valley, CA",$4.79,34.223025768477,-118.365733857154
SC Fuels,"8620 San Fernando Rd, Sun Valley, CA",,34.225860540378,-118.378017401192
Sunland Gas,"8501 Sunland Blvd, Sun Valley, CA",,34.224367459909,-118.365705935217
Shell,"10908 Roscoe Blvd, Sun Valley, CA",$4.69,34.221393836759,-118.367612485844
ARCO,"8345 Glenoaks Blvd, Sun Valley, CA",$4.25,34.222394638724,-118.359310353727
76,"8850 Glenoaks Blvd, Sun Valley, CA",$4.57,34.229359457987,-118.365856122396
Sun Valley Petro,"9089 Glenoaks Blvd, Sun Valley, CA",,34.234260622847,-118.371155445218
Chevron,"9055 Sunland Blvd, Sun Valley, CA",,34.233367847233,-118.367066409853
ARCO,"8004 Lankershim Blvd, North Hollywood, CA",$4.25,34.215836901406,-118.387709647339
Thrifty,"9090 Glenoaks Blvd, Sun Valley, CA",$4.49,34.23437140083,-118.3710883259
Super Fine,"8730 Lankershim Blvd, Sun Valley, CA",,34.227907707393,-118.38768731553
Ralphs,"11870 W Roscoe Blvd, Sun Valley, CA",$4.29,34.221562094323,-118.392354311985
ARCO,"12050 Roscoe Blvd, North Hollywood, CA",$4.35,34.221582268635,-118.395391960774
